,MolWt,LogP,TPSA,SMILES,FP,FP array
45,677.7350000000001,7.4544000000000095,135.5,CCC(C)(C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@H]3C[C@@H](OP4(=O)N=C(c5cccnc5)OC(c5cccnc5)O4)CC(=O)O3)C21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836a50>,[0 0 0 ... 0 0 0]
46,209.31099999999995,0.4751999999999999,66.4,CC(C)NS(=O)(=O)CCC(C)(C)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836ac0>,[0 1 0 ... 0 0 0]
47,1013.4749999999999,16.544019999999968,45.900000000000006,Cc1ccc(N(c2cc3c4cc(N(c5ccc([Si](C)([SiH3])[SiH3])cc5)c5cccc6c5oc5c(C(C)(C)C)cccc56)c5ccccc5c4oc3c3ccccc23)c2cccc3c2oc2c(C(C)(C)C)cccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836b30>,[0 0 0 ... 0 0 0]
48,352.78100000000006,3.737400000000001,94.66000000000001,O=C(Cc1cc(-c2nc3ccccc3[nH]2)n[nH]1)c1ccc(O)c(Cl)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836ba0>,[0 0 0 ... 0 0 0]
49,165.27999999999997,3.267500000000002,4.93,CC(C)Cn1cccc1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836c10>,[0 1 0 ... 0 0 0]
50,199.72499999999997,3.920900000000003,4.93,CC(C)Cn1ccc(Cl)c1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836c80>,[0 1 0 ... 0 0 0]
51,193.29,2.627700000000001,22.0,CC(C)Cn1c(C(C)C)cccc1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836cf0>,[0 1 0 ... 0 0 0]
52,179.307,3.5759200000000027,4.93,Cc1ccc(C(C)C)n1CC(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836d60>,[0 1 0 ... 0 0 0]
53,179.30700000000002,3.5759200000000027,4.93,Cc1cc(C(C)C)n(CC(C)C)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836dd0>,[0 1 0 ... 0 0 0]
54,195.30599999999998,2.759800000000001,25.16,CC(C)Cn1c(CO)ccc1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836eb0>,[0 1 0 ... 0 0 0]
55,307.325,2.4995000000000003,66.24,CC[C@H]1O[C@@H](n2nnc3c(C(=O)OC)cccc32)[C@H](F)[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836f20>,[0 0 0 ... 0 0 0]
56,309.394,3.4563000000000015,47.78,C=Cc1csc(CC(=O)c2cccn2Cc2ccncc2)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836f90>,[0 0 0 ... 0 0 0]
57,408.86300000000017,2.3466000000000005,92.78000000000002,CN(C)S(=O)(=O)c1cc(NC(=O)c2ccc3c(c2)CC(=O)CO3)ccc1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a040>,[0 0 0 ... 0 0 0]
58,486.57800000000015,8.493670000000003,53.17,[H]/N=C1/C=C(n2c3cccc4c3c3c5c(cccc5ccc32)-c2ccccc2-4)C=C/C1=N\Nc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a0b0>,[0 0 0 ... 0 0 0]
59,603.8030000000003,2.344000000000003,91.98,C=CC(=O)N1CCN(C2NC(=O)N3C4NC(C(F)CC42)C2C(F)CCCC2NCCCC2CCNC(C(C)C)C23)[C@@H]2C[C@@H]21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a120>,[0 1 0 ... 0 0 0]
60,603.8030000000003,2.344000000000003,91.98,C=CC(=O)N1CCN(C2NC(=O)N3C4NC(C(F)CC42)C2C(F)CCCC2NCCCC2CCNC(C(C)C)C23)[C@H]2C[C@H]21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a190>,[0 1 0 ... 0 0 0]
61,1154.182999999999,5.906700000000004,301.74999999999994,NC(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)c1cc2cc(C(=O)P(=O)(O)O)ccc2n1C(=O)CCCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CC3)C(=O)CC(c1ccccc1)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a200>,[0 1 0 ... 0 0 0]
62,458.5260000000002,3.661310000000002,98.22000000000001,[C-]#[N+]c1c2c(nn1CCOC)C(=O)N(C)CCCCn1cc(c(C)n1)-c1c[nH]c3ncc-2cc13,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a270>,[0 0 0 ... 0 0 0]
63,483.58000000000027,3.939410000000003,101.02,[C-]#[N+]c1c2c(nn1C1CCNCC1)C(=O)N(C)CCCCn1cc(c(C)n1)-c1c[nH]c3ncc-2cc13,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a2e0>,[0 0 0 ... 0 0 0]
64,413.52100000000013,4.952100000000003,75.71000000000001,C=CC(=O)CCc1ccc(-c2ccc(C(C)C(=O)Cc3cc(C4CC4)n[nH]3)cc2)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a350>,[0 1 0 ... 1 0 0]
65,409.48200000000014,3.593700000000001,92.7,CC(C)[C@H](CC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a3c0>,[0 1 0 ... 0 0 0]
66,753.7940000000001,8.447300000000007,81.7,CC(C)[C@H](CC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)Cc1ccc(CO[Si](C)(C)C(C)(C)C)c(I)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a430>,[0 1 0 ... 0 0 0]
67,825.2789999999999,5.707820000000004,214.04999999999998,COc1cc(/N=N/c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc(OC)c1OCC(=O)N1CCC(CC(=O)c2[nH]ncc2NC(=O)c2c(C)cccc2Cl)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a4a0>,[0 0 0 ... 0 0 0]
68,811.2959999999999,6.181220000000005,196.98,COc1cc(/N=N/c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc(OC)c1OCCN1CCC(CC(=O)c2[nH]ncc2NC(=O)c2c(C)cccc2Cl)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a510>,[0 0 0 ... 0 0 0]
69,176.30299999999997,3.324600000000002,0.0,CCC12CC(C)CC3C1C1C2C31C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a580>,[0 0 0 ... 0 0 0]
70,562.7160000000002,11.455799999999984,16.96,C1=C(n2c3ccccc3c3c(Nc4ccc(-c5ccc6ccccc6c5)c5ccccc45)cccc32)CCc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a5f0>,[0 0 0 ... 0 1 0]
71,498.38100000000026,3.0341000000000014,80.56000000000002,CC(=O)c1ccc2nc(CN3CCN(c4cccc(Br)n4)C(=O)C3)n(C[C@@H]3CCO3)c2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774040>,[0 0 0 ... 0 0 0]
72,525.6090000000004,3.8506000000000027,89.79,CC(=O)c1ccc2nc(CN3CCN(c4cccc(OCc5ccccc5)n4)C(=O)C3)n(C[C@@H]3CCO3)c2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007740b0>,[0 0 0 ... 0 0 0]
73,953.0899999999993,-0.1669999999999967,269.58,CCOCC(COCCC(=O)CCCOCCOC)(COCCC(=O)NCCOCCOC)NC(=O)CCOCCOCCOCCOCCNC(=O)CCCC(=O)ON1C(=O)CCC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774120>,[0 0 0 ... 0 0 0]
74,295.2940000000001,3.0923000000000016,80.4,O=C1CCC(c2noc3ccc4cc(O)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774190>,[0 0 0 ... 0 0 0]
