,SMILES,FP,FP array
39,COC1[C@@H](OC)O[C@@H](n2cnc3c(N)nc(/C=C/C(=O)Oc4ccccc4)nc32)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008367b0>,[0 0 0 ... 0 0 0]
40,Cc1cc(Cc2nc(N3CCCC(NC(=O)C4CCNCC4)C3)cnc2C(N)=O)sn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836820>,[0 0 0 ... 0 0 0]
41,COc1ccc(C)c2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)c(C(F)(F)F)c12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836890>,[0 1 0 ... 0 0 0]
42,CN/N=C(\N)c1ccc(Br)nc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836900>,[0 0 0 ... 0 0 0]
43,O=C(NCc1ccccc1)C(=O)[C@H](C[C@@H]1CCCNC1=O)NC(=O)[C@@H](CC(=O)c1cc2ccccc2s1)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836970>,[0 1 0 ... 0 0 0]
44,C/C=C/C[C@@H](C)[C@H]1OC(C)[C@H]2C(=O)N(C)C1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](OCCN)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008369e0>,[0 1 0 ... 0 0 0]
45,CCC(C)(C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@H]3C[C@@H](OP4(=O)N=C(c5cccnc5)OC(c5cccnc5)O4)CC(=O)O3)C21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836a50>,[0 0 0 ... 0 0 0]
46,CC(C)NS(=O)(=O)CCC(C)(C)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836ac0>,[0 1 0 ... 0 0 0]
47,Cc1ccc(N(c2cc3c4cc(N(c5ccc([Si](C)([SiH3])[SiH3])cc5)c5cccc6c5oc5c(C(C)(C)C)cccc56)c5ccccc5c4oc3c3ccccc23)c2cccc3c2oc2c(C(C)(C)C)cccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836b30>,[0 0 0 ... 0 0 0]
48,O=C(Cc1cc(-c2nc3ccccc3[nH]2)n[nH]1)c1ccc(O)c(Cl)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836ba0>,[0 0 0 ... 0 0 0]
49,CC(C)Cn1cccc1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836c10>,[0 1 0 ... 0 0 0]
50,CC(C)Cn1ccc(Cl)c1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836c80>,[0 1 0 ... 0 0 0]
51,CC(C)Cn1c(C(C)C)cccc1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836cf0>,[0 1 0 ... 0 0 0]
52,Cc1ccc(C(C)C)n1CC(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836d60>,[0 1 0 ... 0 0 0]
53,Cc1cc(C(C)C)n(CC(C)C)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836dd0>,[0 1 0 ... 0 0 0]
54,CC(C)Cn1c(CO)ccc1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836eb0>,[0 1 0 ... 0 0 0]
55,CC[C@H]1O[C@@H](n2nnc3c(C(=O)OC)cccc32)[C@H](F)[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836f20>,[0 0 0 ... 0 0 0]
56,C=Cc1csc(CC(=O)c2cccn2Cc2ccncc2)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836f90>,[0 0 0 ... 0 0 0]
57,CN(C)S(=O)(=O)c1cc(NC(=O)c2ccc3c(c2)CC(=O)CO3)ccc1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a040>,[0 0 0 ... 0 0 0]
58,[H]/N=C1/C=C(n2c3cccc4c3c3c5c(cccc5ccc32)-c2ccccc2-4)C=C/C1=N\Nc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a0b0>,[0 0 0 ... 0 0 0]
59,C=CC(=O)N1CCN(C2NC(=O)N3C4NC(C(F)CC42)C2C(F)CCCC2NCCCC2CCNC(C(C)C)C23)[C@@H]2C[C@@H]21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a120>,[0 1 0 ... 0 0 0]
60,C=CC(=O)N1CCN(C2NC(=O)N3C4NC(C(F)CC42)C2C(F)CCCC2NCCCC2CCNC(C(C)C)C23)[C@H]2C[C@H]21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a190>,[0 1 0 ... 0 0 0]
61,NC(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)c1cc2cc(C(=O)P(=O)(O)O)ccc2n1C(=O)CCCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)CC3)C(=O)CC(c1ccccc1)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a200>,[0 1 0 ... 0 0 0]
62,[C-]#[N+]c1c2c(nn1CCOC)C(=O)N(C)CCCCn1cc(c(C)n1)-c1c[nH]c3ncc-2cc13,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a270>,[0 0 0 ... 0 0 0]
63,[C-]#[N+]c1c2c(nn1C1CCNCC1)C(=O)N(C)CCCCn1cc(c(C)n1)-c1c[nH]c3ncc-2cc13,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a2e0>,[0 0 0 ... 0 0 0]
64,C=CC(=O)CCc1ccc(-c2ccc(C(C)C(=O)Cc3cc(C4CC4)n[nH]3)cc2)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a350>,[0 1 0 ... 1 0 0]
65,CC(C)[C@H](CC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a3c0>,[0 1 0 ... 0 0 0]
66,CC(C)[C@H](CC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)Cc1ccc(CO[Si](C)(C)C(C)(C)C)c(I)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a430>,[0 1 0 ... 0 0 0]
67,COc1cc(/N=N/c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc(OC)c1OCC(=O)N1CCC(CC(=O)c2[nH]ncc2NC(=O)c2c(C)cccc2Cl)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a4a0>,[0 0 0 ... 0 0 0]
68,COc1cc(/N=N/c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc(OC)c1OCCN1CCC(CC(=O)c2[nH]ncc2NC(=O)c2c(C)cccc2Cl)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a510>,[0 0 0 ... 0 0 0]
69,CCC12CC(C)CC3C1C1C2C31C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a580>,[0 0 0 ... 0 0 0]
70,C1=C(n2c3ccccc3c3c(Nc4ccc(-c5ccc6ccccc6c5)c5ccccc45)cccc32)CCc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750083a5f0>,[0 0 0 ... 0 1 0]
71,CC(=O)c1ccc2nc(CN3CCN(c4cccc(Br)n4)C(=O)C3)n(C[C@@H]3CCO3)c2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774040>,[0 0 0 ... 0 0 0]
72,CC(=O)c1ccc2nc(CN3CCN(c4cccc(OCc5ccccc5)n4)C(=O)C3)n(C[C@@H]3CCO3)c2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007740b0>,[0 0 0 ... 0 0 0]
73,CCOCC(COCCC(=O)CCCOCCOC)(COCCC(=O)NCCOCCOC)NC(=O)CCOCCOCCOCCOCCNC(=O)CCCC(=O)ON1C(=O)CCC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774120>,[0 0 0 ... 0 0 0]
74,O=C1CCC(c2noc3ccc4cc(O)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774190>,[0 0 0 ... 0 0 0]
75,O=C1CCC(c2noc3ccc4cc(OCC(F)F)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774200>,[0 1 0 ... 0 0 0]
76,COCCOc1ccc2c(ccc3onc(C4CCC(=O)CC4=O)c32)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774270>,[0 0 0 ... 0 0 0]
77,O=C1CCC(c2noc3ccc4cc(C(=O)CCC5CC5)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007742e0>,[0 0 0 ... 0 0 0]
78,CN(C)CCOc1ccc2c(ccc3onc(C4CCC(=O)CC4=O)c32)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774350>,[0 0 0 ... 0 0 0]
